Episódio,Recompensa Total,Passos,Timesteps Globais
1,-2536.44,1001,1001
2,-2712.2,1001,2002
3,-2703.42,1001,3003
4,-2706.25,1001,4004
5,-2702.95,1001,5005
6,-2706.51,1001,6006
7,-2699.82,1001,7007
8,-3535.9,929,7936
9,-2708.04,1001,8937
10,-2701.27,1001,9938
11,-2691.21,1001,10939
12,-3348.31,863,11802
13,-2698.25,1001,12803
14,-2314.81,485,13288
15,-2674.72,1001,14289
16,-2651.37,1001,15290
17,-1769.07,289,15579
18,-3134.66,985,16564
19,-1996.36,375,16939
20,-2163.12,439,17378
21,-1453.51,176,17554
22,-1937.15,356,17910
23,-2321.55,501,18411
24,-1408.59,158,18569
25,-1618.88,240,18809
26,-1739.41,286,19095
27,-2263.83,480,19575
28,-1343.23,134,19709
29,-2399.97,729,20438
30,-1410.64,162,20600
31,-1436.8,170,20770
32,-1466.36,188,20958
33,-1895.29,346,21304
34,-1520.74,200,21504
35,-1420.98,165,21669
36,-1768.75,296,21965
37,-2511.77,1001,22966
38,-2453.69,1001,23967
39,-1341.57,349,24316
40,-1383.36,162,24478
41,-1167.47,73,24551
42,-2034.91,646,25197
43,-1203.83,89,25286
44,-2578.59,675,25961
45,-1157.73,289,26250
46,-1668.89,299,26549
47,-2368.54,618,27167
48,-1117.93,59,27226
49,-2003.98,487,27713
50,-1003.72,255,27968
51,-1120.89,65,28033
52,-1139.03,71,28104
53,-1091.13,47,28151
54,-1156.58,83,28234
55,-1192.02,97,28331
56,-1198.54,101,28432
57,-1804.32,411,28843
58,-1122.97,64,28907
59,-1078.12,43,28950
60,-754.55,136,29086
61,-1164.48,90,29176
62,-1120.29,63,29239
63,-1137.13,73,29312
64,-1087.64,47,29359
65,-1076.42,42,29401
66,-1076.4,41,29442
67,-1114.91,61,29503
68,-1064.42,37,29540
69,-775.62,145,29685
70,-1154.68,336,30021
71,-1121.05,61,30082
72,-1107.98,55,30137
73,-1154.98,84,30221
74,-746.39,136,30357
75,-1204.58,108,30465
76,-1100.82,55,30520
77,-1665.64,362,30882
78,-1085.75,48,30930
79,-1051.12,299,31229
80,-1116.39,70,31299
81,-1658.64,365,31664
82,-1247.92,138,31802
83,-1648.24,377,32179
84,-1052.17,33,32212
85,-1074.1,48,32260
86,-1124.54,74,32334
87,-1063.17,41,32375
88,-1049.57,33,32408
89,-1123.26,74,32482
90,-1067.3,42,32524
91,-1077.24,48,32572
92,-1107.13,70,32642
93,-1078.38,48,32690
94,-1113.3,67,32757
95,-1516.32,311,33068
96,-1548.84,341,33409
97,-1124.53,82,33491
98,-1454.34,290,33781
99,-1100.87,64,33845
100,-765.86,176,34021
101,-1262.74,173,34194
102,-1072.25,53,34247
103,-1054.85,38,34285
104,-1054.08,36,34321
105,-1071.56,50,34371
